drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
BETAXOLOL	DRUG:BETAXOLOL	CHEMBL423	S01ED52	S	Sensory organs
TUCIDINOSTAT	DRUG:TUCIDINOSTAT	CHEMBL3621988	L01XH06	L	Antineoplastic and immunomodulating agents
CEFIDEROCOL	DRUG:CEFIDEROCOL	CHEMBL3989974	J01DI04	J	Antiinfectives for systemic use
REVEFENACIN	DRUG:REVEFENACIN	CHEMBL3833319	R03BB08	R	Respiratory system
ACORAMIDIS	DRUG:ACORAMIDIS	CHEMBL3940890	C01EB25	C	Cardiovascular system
TECHNETIUM TC-99M	DRUG:TECHNETIUM TC-99M	CHEMBL4297443	V09EA02	V	Various
LURBINECTEDIN	DRUG:LURBINECTEDIN	CHEMBL4297516	L01XX69	L	Antineoplastic and immunomodulating agents
BROLUCIZUMAB	DRUG:BROLUCIZUMAB	CHEMBL3707357	S01LA06	S	Sensory organs
ADUCANUMAB	DRUG:ADUCANUMAB	CHEMBL3039540	N06DX03	N	Nervous system
ISTRADEFYLLINE	DRUG:ISTRADEFYLLINE	CHEMBL431770	N04CX01	N	Nervous system
MIFAMURTIDE	DRUG:MIFAMURTIDE	CHEMBL2107354	L03AX15	L	Antineoplastic and immunomodulating agents
ISATUXIMAB	DRUG:ISATUXIMAB	CHEMBL3545131	L01FC02	L	Antineoplastic and immunomodulating agents
TACROLIMUS	DRUG:TACROLIMUS	CHEMBL3989887	L04AD02	L	Antineoplastic and immunomodulating agents
REZAFUNGIN ACETATE	DRUG:REZAFUNGIN ACETATE	CHEMBL3989928	J02AX08	J	Antiinfectives for systemic use
NIFUROXAZIDE	DRUG:NIFUROXAZIDE	CHEMBL244888	A07AX03	A	Alimentary tract and metabolism
ALVERINE	DRUG:ALVERINE	CHEMBL253371	A03AX58	A	Alimentary tract and metabolism
IOXILAN	DRUG:IOXILAN	CHEMBL1201075	V08AB12	V	Various
MEPROBAMATE	DRUG:MEPROBAMATE	CHEMBL979	N05BC01	N	Nervous system
MEPROBAMATE	DRUG:MEPROBAMATE	CHEMBL979	N05BC51	N	Nervous system
ASENAPINE	DRUG:ASENAPINE	CHEMBL3187365	N05AH05	N	Nervous system
TECHNETIUM TC 99M TETROFOSMIN	DRUG:TECHNETIUM TC 99M TETROFOSMIN	CHEMBL1200857	V09GA02	V	Various
DELANDISTROGENE MOXEPARVOVEC	DRUG:DELANDISTROGENE MOXEPARVOVEC	CHEMBL4650241	M09AX15	M	Musculo-skeletal system
PHENOLPHTHALEIN	DRUG:PHENOLPHTHALEIN	CHEMBL63857	A06AB04	A	Alimentary tract and metabolism
PIRETANIDE	DRUG:PIRETANIDE	CHEMBL349803	C03CA03	C	Cardiovascular system
BUCLIZINE	DRUG:BUCLIZINE	CHEMBL1201271	R06AE51	R	Respiratory system
HYDROCHLORIC ACID	DRUG:HYDROCHLORIC ACID	CHEMBL1231821	A09AB03	A	Alimentary tract and metabolism
CATHINE	DRUG:CATHINE	CHEMBL1412041	A08AA07	A	Alimentary tract and metabolism
