id	name	category
AE:Adenoidal disorder	Adenoidal disorder	AdverseEvent
AE:Adenoidal hypertrophy	Adenoidal hypertrophy	AdverseEvent
AE:Adenoidectomy	Adenoidectomy	AdverseEvent
AE:Adenoiditis	Adenoiditis	AdverseEvent
AE:Adenoma benign	Adenoma benign	AdverseEvent
AE:Adenomatous polyposis coli	Adenomatous polyposis coli	AdverseEvent
AE:Adenomyosis	Adenomyosis	AdverseEvent
AE:Adenotonsillectomy	Adenotonsillectomy	AdverseEvent
AE:Adenoviral haemorrhagic cystitis	Adenoviral haemorrhagic cystitis	AdverseEvent
AE:Adenoviral hepatitis	Adenoviral hepatitis	AdverseEvent
AE:Adenovirus infection	Adenovirus infection	AdverseEvent
AE:Adenovirus interstitial nephritis	Adenovirus interstitial nephritis	AdverseEvent
AE:Adenovirus reactivation	Adenovirus reactivation	AdverseEvent
AE:Adhesion	Adhesion	AdverseEvent
AE:Adhesive tape use	Adhesive tape use	AdverseEvent
AE:Adiposis dolorosa	Adiposis dolorosa	AdverseEvent
AE:Adjusted calcium decreased	Adjusted calcium decreased	AdverseEvent
AE:Adjusted calcium increased	Adjusted calcium increased	AdverseEvent
AE:Adjustment disorder	Adjustment disorder	AdverseEvent
AE:Adjustment disorder with depressed mood	Adjustment disorder with depressed mood	AdverseEvent
AE:Adjustment disorder with mixed anxiety and depressed mood	Adjustment disorder with mixed anxiety and depressed mood	AdverseEvent
AE:Administration related reaction	Administration related reaction	AdverseEvent
AE:Administration site bruise	Administration site bruise	AdverseEvent
AE:Administration site discolouration	Administration site discolouration	AdverseEvent
AE:Administration site discomfort	Administration site discomfort	AdverseEvent
AE:Administration site erythema	Administration site erythema	AdverseEvent
AE:Administration site extravasation	Administration site extravasation	AdverseEvent
AE:Administration site haemorrhage	Administration site haemorrhage	AdverseEvent
AE:Administration site infection	Administration site infection	AdverseEvent
AE:Administration site inflammation	Administration site inflammation	AdverseEvent
AE:Administration site irritation	Administration site irritation	AdverseEvent
AE:Administration site nodule	Administration site nodule	AdverseEvent
AE:Administration site odour	Administration site odour	AdverseEvent
AE:Administration site pain	Administration site pain	AdverseEvent
AE:Administration site pruritus	Administration site pruritus	AdverseEvent
AE:Administration site rash	Administration site rash	AdverseEvent
AE:Administration site reaction	Administration site reaction	AdverseEvent
AE:Administration site scar	Administration site scar	AdverseEvent
AE:Administration site swelling	Administration site swelling	AdverseEvent
AE:Adnexa uteri cyst	Adnexa uteri cyst	AdverseEvent
AE:Adnexa uteri mass	Adnexa uteri mass	AdverseEvent
AE:Adnexa uteri pain	Adnexa uteri pain	AdverseEvent
AE:Adnexal torsion	Adnexal torsion	AdverseEvent
AE:Adrenal adenoma	Adrenal adenoma	AdverseEvent
AE:Adrenal cyst	Adrenal cyst	AdverseEvent
AE:Adrenal disorder	Adrenal disorder	AdverseEvent
AE:Adrenal gland cancer	Adrenal gland cancer	AdverseEvent
AE:Adrenal haemorrhage	Adrenal haemorrhage	AdverseEvent
AE:Adrenal insufficiency	Adrenal insufficiency	AdverseEvent
AE:Adrenal mass	Adrenal mass	AdverseEvent
AE:Adrenal neoplasm	Adrenal neoplasm	AdverseEvent
AE:Adrenal suppression	Adrenal suppression	AdverseEvent
AE:Adrenalitis	Adrenalitis	AdverseEvent
AE:Adrenocortical insufficiency acute	Adrenocortical insufficiency acute	AdverseEvent
AE:Adrenocorticotropic hormone deficiency	Adrenocorticotropic hormone deficiency	AdverseEvent
AE:Adrenogenital syndrome	Adrenogenital syndrome	AdverseEvent
AE:Adrenomegaly	Adrenomegaly	AdverseEvent
AE:Adult T-cell lymphoma/leukaemia	Adult T-cell lymphoma/leukaemia	AdverseEvent
AE:Adulterated product	Adulterated product	AdverseEvent
AE:Adverse drug reaction	Adverse drug reaction	AdverseEvent
AE:Adverse event	Adverse event	AdverseEvent
AE:Adverse event following immunisation	Adverse event following immunisation	AdverseEvent
AE:Adverse food reaction	Adverse food reaction	AdverseEvent
AE:Adverse reaction	Adverse reaction	AdverseEvent
AE:Aeromonas infection	Aeromonas infection	AdverseEvent
AE:Affect lability	Affect lability	AdverseEvent
AE:Affective disorder	Affective disorder	AdverseEvent
AE:Age-related macular degeneration	Age-related macular degeneration	AdverseEvent
AE:Ageusia	Ageusia	AdverseEvent
AE:Aggression	Aggression	AdverseEvent
AE:Agitated depression	Agitated depression	AdverseEvent
AE:Agitation	Agitation	AdverseEvent
AE:Agitation neonatal	Agitation neonatal	AdverseEvent
AE:Agnosia	Agnosia	AdverseEvent
AE:Agonal respiration	Agonal respiration	AdverseEvent
AE:Agoraphobia	Agoraphobia	AdverseEvent
AE:Agranulocytosis	Agranulocytosis	AdverseEvent
AE:Agraphia	Agraphia	AdverseEvent
AE:Air embolism	Air embolism	AdverseEvent
AE:Airway complication of anaesthesia	Airway complication of anaesthesia	AdverseEvent
AE:Airway peak pressure increased	Airway peak pressure increased	AdverseEvent
AE:Airway remodelling	Airway remodelling	AdverseEvent
AE:Akathisia	Akathisia	AdverseEvent
AE:Akinesia	Akinesia	AdverseEvent
AE:Alanine aminotransferase	Alanine aminotransferase	AdverseEvent
AE:Alanine aminotransferase abnormal	Alanine aminotransferase abnormal	AdverseEvent
AE:Alanine aminotransferase decreased	Alanine aminotransferase decreased	AdverseEvent
AE:Alanine aminotransferase increased	Alanine aminotransferase increased	AdverseEvent
AE:Albumin globulin ratio increased	Albumin globulin ratio increased	AdverseEvent
AE:Albuminuria	Albuminuria	AdverseEvent
AE:Alcohol abuse	Alcohol abuse	AdverseEvent
AE:Alcohol interaction	Alcohol interaction	AdverseEvent
AE:Alcohol intolerance	Alcohol intolerance	AdverseEvent
AE:Alcohol poisoning	Alcohol poisoning	AdverseEvent
AE:Alcohol problem	Alcohol problem	AdverseEvent
AE:Alcohol test false positive	Alcohol test false positive	AdverseEvent
AE:Alcohol use	Alcohol use	AdverseEvent
AE:Alcohol use disorder	Alcohol use disorder	AdverseEvent
AE:Alcohol withdrawal syndrome	Alcohol withdrawal syndrome	AdverseEvent
AE:Alcoholic	Alcoholic	AdverseEvent
AE:Alcoholic liver disease	Alcoholic liver disease	AdverseEvent
AE:Alcoholism	Alcoholism	AdverseEvent
AE:Alexia	Alexia	AdverseEvent
AE:Alice in wonderland syndrome	Alice in wonderland syndrome	AdverseEvent
AE:Alkalosis	Alkalosis	AdverseEvent
AE:Alkalosis hypochloraemic	Alkalosis hypochloraemic	AdverseEvent
AE:Allergic cough	Allergic cough	AdverseEvent
AE:Allergic granulomatous angiitis	Allergic granulomatous angiitis	AdverseEvent
AE:Allergic oedema	Allergic oedema	AdverseEvent
AE:Allergic reaction to excipient	Allergic reaction to excipient	AdverseEvent
AE:Allergic respiratory disease	Allergic respiratory disease	AdverseEvent
AE:Allergic respiratory symptom	Allergic respiratory symptom	AdverseEvent
AE:Allergic sinusitis	Allergic sinusitis	AdverseEvent
AE:Allergic transfusion reaction	Allergic transfusion reaction	AdverseEvent
AE:Allergy test negative	Allergy test negative	AdverseEvent
AE:Allergy test positive	Allergy test positive	AdverseEvent
AE:Allergy to animal	Allergy to animal	AdverseEvent
AE:Allergy to arthropod bite	Allergy to arthropod bite	AdverseEvent
AE:Allergy to arthropod sting	Allergy to arthropod sting	AdverseEvent
AE:Allergy to chemicals	Allergy to chemicals	AdverseEvent
AE:Allergy to fermented products	Allergy to fermented products	AdverseEvent
AE:Allergy to immunoglobulin therapy	Allergy to immunoglobulin therapy	AdverseEvent
AE:Allergy to metals	Allergy to metals	AdverseEvent
AE:Allergy to plants	Allergy to plants	AdverseEvent
AE:Allergy to vaccine	Allergy to vaccine	AdverseEvent
AE:Allodynia	Allodynia	AdverseEvent
AE:Allogenic stem cell transplantation	Allogenic stem cell transplantation	AdverseEvent
AE:Alopecia	Alopecia	AdverseEvent
AE:Alopecia areata	Alopecia areata	AdverseEvent
AE:Alopecia scarring	Alopecia scarring	AdverseEvent
AE:Alopecia totalis	Alopecia totalis	AdverseEvent
AE:Alopecia universalis	Alopecia universalis	AdverseEvent
AE:Alpha 1 foetoprotein increased	Alpha 1 foetoprotein increased	AdverseEvent
AE:Alpha haemolytic streptococcal infection	Alpha haemolytic streptococcal infection	AdverseEvent
AE:Alpha tumour necrosis factor increased	Alpha tumour necrosis factor increased	AdverseEvent
AE:Alpha-1 antitrypsin deficiency	Alpha-1 antitrypsin deficiency	AdverseEvent
AE:Altered pitch perception	Altered pitch perception	AdverseEvent
AE:Altered state of consciousness	Altered state of consciousness	AdverseEvent
AE:Altered visual depth perception	Altered visual depth perception	AdverseEvent
AE:Alternaria infection	Alternaria infection	AdverseEvent
AE:Alveolar bone resorption	Alveolar bone resorption	AdverseEvent
AE:Alveolar lung disease	Alveolar lung disease	AdverseEvent
AE:Alveolar osteitis	Alveolar osteitis	AdverseEvent
AE:Alveolar proteinosis	Alveolar proteinosis	AdverseEvent
AE:Alveolar soft part sarcoma	Alveolar soft part sarcoma	AdverseEvent
AE:Alveolitis	Alveolitis	AdverseEvent
AE:Alveolitis allergic	Alveolitis allergic	AdverseEvent
AE:Amaurosis	Amaurosis	AdverseEvent
AE:Amaurosis fugax	Amaurosis fugax	AdverseEvent
AE:Amblyopia	Amblyopia	AdverseEvent
AE:Ameloblastoma	Ameloblastoma	AdverseEvent
AE:Amenorrhoea	Amenorrhoea	AdverseEvent
AE:American trypanosomiasis	American trypanosomiasis	AdverseEvent
AE:Amimia	Amimia	AdverseEvent
AE:Amino acid level decreased	Amino acid level decreased	AdverseEvent
AE:Amino acid level increased	Amino acid level increased	AdverseEvent
AE:Aminoaciduria	Aminoaciduria	AdverseEvent
AE:Ammonia abnormal	Ammonia abnormal	AdverseEvent
AE:Ammonia increased	Ammonia increased	AdverseEvent
AE:Amnesia	Amnesia	AdverseEvent
AE:Amnestic disorder	Amnestic disorder	AdverseEvent
AE:Amniocentesis abnormal	Amniocentesis abnormal	AdverseEvent
AE:Amniorrhexis	Amniorrhexis	AdverseEvent
AE:Amniorrhoea	Amniorrhoea	AdverseEvent
AE:Amniotic cavity infection	Amniotic cavity infection	AdverseEvent
AE:Amniotic fluid index increased	Amniotic fluid index increased	AdverseEvent
AE:Amniotic fluid volume decreased	Amniotic fluid volume decreased	AdverseEvent
AE:Amniotic fluid volume increased	Amniotic fluid volume increased	AdverseEvent
AE:Amoebiasis	Amoebiasis	AdverseEvent
AE:Amoebic colitis	Amoebic colitis	AdverseEvent
AE:Amphetamines negative	Amphetamines negative	AdverseEvent
AE:Amphetamines positive	Amphetamines positive	AdverseEvent
AE:Amputation	Amputation	AdverseEvent
AE:Amylase increased	Amylase increased	AdverseEvent
AE:Amyloid arthropathy	Amyloid arthropathy	AdverseEvent
AE:Amyloid related imaging abnormalities	Amyloid related imaging abnormalities	AdverseEvent
AE:Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits	Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits	AdverseEvent
AE:Amyloid related imaging abnormality-oedema/effusion	Amyloid related imaging abnormality-oedema/effusion	AdverseEvent
AE:Amyloidosis	Amyloidosis	AdverseEvent
AE:Amyloidosis senile	Amyloidosis senile	AdverseEvent
AE:Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	AdverseEvent
AE:Amyotrophy	Amyotrophy	AdverseEvent
AE:Anaemia	Anaemia	AdverseEvent
AE:Anaemia folate deficiency	Anaemia folate deficiency	AdverseEvent
AE:Anaemia macrocytic	Anaemia macrocytic	AdverseEvent
AE:Anaemia megaloblastic	Anaemia megaloblastic	AdverseEvent
AE:Anaemia neonatal	Anaemia neonatal	AdverseEvent
AE:Anaemia of chronic disease	Anaemia of chronic disease	AdverseEvent
AE:Anaemia of malignant disease	Anaemia of malignant disease	AdverseEvent
AE:Anaemia of pregnancy	Anaemia of pregnancy	AdverseEvent
AE:Anaemia postoperative	Anaemia postoperative	AdverseEvent
AE:Anaemia vitamin B12 deficiency	Anaemia vitamin B12 deficiency	AdverseEvent
AE:Anaesthesia	Anaesthesia	AdverseEvent
AE:Anaesthetic complication	Anaesthetic complication	AdverseEvent
AE:Anaesthetic complication neurological	Anaesthetic complication neurological	AdverseEvent
