entity	id
AE:AGITATION_POSTOPERATIVE	463
AE:AGNOSIA	464
AE:AGONAL_RESPIRATION	465
AE:AGONAL_RHYTHM	466
AE:AGORAPHOBIA	467
AE:AGRANULOCYTOSIS	468
AE:AGRAPHIA	469
AE:AIDS_CHOLANGIOPATHY	470
AE:AIDS_DEMENTIA_COMPLEX	471
AE:AIDS_RELATED_COMPLEX	472
AE:AIDS_RELATED_COMPLICATION	473
AE:AIRWAY_BURNS	474
AE:AIRWAY_COMPLICATION_OF_ANAESTHESIA	475
AE:AIRWAY_COMPRESSION	476
AE:AIRWAY_PEAK_PRESSURE_INCREASED	477
AE:AIRWAY_REMODELLING	478
AE:AIR_EMBOLISM	479
AE:AKATHISIA	480
AE:AKINESIA	481
AE:ALAGILLE_SYNDROME	482
AE:ALANINE_AMINOTRANSFERASE	483
AE:ALANINE_AMINOTRANSFERASE_ABNORMAL	484
AE:ALANINE_AMINOTRANSFERASE_DECREASED	485
AE:ALANINE_AMINOTRANSFERASE_INCREASED	486
AE:ALBRIGHT'S_DISEASE	487
AE:ALBUMINURIA	488
AE:ALBUMIN_GLOBULIN_RATIO_ABNORMAL	489
AE:ALBUMIN_GLOBULIN_RATIO_DECREASED	490
AE:ALBUMIN_GLOBULIN_RATIO_INCREASED	491
AE:ALBUMIN_URINE	492
AE:ALBUMIN_URINE_PRESENT	493
AE:ALCALIGENES_INFECTION	494
AE:ALCOHOLIC	495
AE:ALCOHOLIC_COMA	496
AE:ALCOHOLIC_ENCEPHALOPATHY	497
AE:ALCOHOLIC_HANGOVER	498
AE:ALCOHOLIC_KETOACIDOSIS	499
AE:ALCOHOLIC_LIVER_DISEASE	500
AE:ALCOHOLIC_PANCREATITIS	501
AE:ALCOHOLIC_PSYCHOSIS	502
AE:ALCOHOLIC_SEIZURE	503
AE:ALCOHOLISM	504
AE:ALCOHOL_ABUSE	505
AE:ALCOHOL_DETOXIFICATION	506
AE:ALCOHOL_INTERACTION	507
AE:ALCOHOL_INTOLERANCE	508
AE:ALCOHOL_POISONING	509
AE:ALCOHOL_PROBLEM	510
AE:ALCOHOL_REHABILITATION	511
AE:ALCOHOL_TEST_FALSE_POSITIVE	512
AE:ALCOHOL_TEST_POSITIVE	513
AE:ALCOHOL_USE	514
AE:ALCOHOL_USE_DISORDER	515
AE:ALCOHOL_WITHDRAWAL_SYNDROME	516
AE:ALDOLASE_ABNORMAL	517
AE:ALDOLASE_INCREASED	518
AE:ALEXANDER_DISEASE	519
AE:ALEXIA	520
AE:ALEXITHYMIA	521
AE:ALICE_IN_WONDERLAND_SYNDROME	522
AE:ALIEN_LIMB_SYNDROME	523
AE:ALKALOSIS	524
AE:ALKALOSIS_HYPOCHLORAEMIC	525
AE:ALKALOSIS_HYPOKALAEMIC	526
AE:ALKAPTONURIA	527
AE:ALK_GENE_REARRANGEMENT_POSITIVE	528
AE:ALLERGIC_BRONCHITIS	529
AE:ALLERGIC_BRONCHOPULMONARY_MYCOSIS	530
AE:ALLERGIC_COLITIS	531
AE:ALLERGIC_COUGH	532
AE:ALLERGIC_EOSINOPHILIA	533
AE:ALLERGIC_FUNGAL_RHINOSINUSITIS	534
AE:ALLERGIC_GASTROENTERITIS	535
AE:ALLERGIC_GRANULOMATOUS_ANGIITIS	536
AE:ALLERGIC_HEPATITIS	537
AE:ALLERGIC_KERATITIS	538
AE:ALLERGIC_MYOCARDITIS	539
AE:ALLERGIC_OEDEMA	540
AE:ALLERGIC_PHARYNGITIS	541
AE:ALLERGIC_REACTION_TO_EXCIPIENT	542
AE:ALLERGIC_RESPIRATORY_DISEASE	543
AE:ALLERGIC_RESPIRATORY_SYMPTOM	544
AE:ALLERGIC_SINUSITIS	545
AE:ALLERGIC_STOMATITIS	546
AE:ALLERGIC_TRANSFUSION_REACTION	547
AE:ALLERGY_TEST_NEGATIVE	548
AE:ALLERGY_TEST_POSITIVE	549
AE:ALLERGY_TO_ANIMAL	550
AE:ALLERGY_TO_ARTHROPOD_BITE	551
AE:ALLERGY_TO_ARTHROPOD_STING	552
